Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,polish
cementMixerTip,Journal Tip,,,,The Cement Mixer is used to craft concrete to make stronger base walls and can mill rocks into sand.\nTo craft recipes here you must have all ingredients in your inventory.\nHold E to pick up Workstations within your land claim area.,,"Betoniarka służy do wytwarzania betonu niezbędnego do wzmacniania ścian bazy. Zmielisz też w niej kamienie, uzyskując piasek.\nAby wytworzyć przedmiot z przepisu, musisz posiadać w ekwipunku wszystkie składniki.\nAby podnieść stacje robocze na obszarze Twojego bloku prawa własności do ziemi, przytrzymaj przyciśnięty klawisz E."
chemistryStationTip,Journal Tip,,,,"The Chemistry Station enables you craft additional chemicals, liquids and compounds.\nWhile some recipes are also available at a Campfire the Chemistry Station requires fewer resources.\nTo craft recipes here you must have all ingredients in your inventory.\nHold E to pick up Workstations within your land claim area.",,"W laboratorium chemicznym wytworzysz dodatkowe substancje, ciecze i związki.\nNiektóre przepisy są dostępne również przy ognisku, ale w laboratorium chemicznym zużyjesz mniej zasobów.\nAby wytworzyć przedmiot z przepisu, musisz posiadać w ekwipunku wszystkie składniki.\nAby podnieść stacje roboczena na obszarze Twojego bloku prawa własności do ziemi, przytrzymaj przyciśnięty klawisz E."
forgeTip,Journal Tip,,,,Forges are used to smelt metals and other resources to craft recipes.\nRecipes can only be crafted at the forge using the smelted resources - not items from your inventory.\n\nInstalling an anvil or bellows will increase performance and installing a crucible allows you to craft steel items.\nHold E to pick up Workstations within your land claim area.,,"W kuźniach przetopisz metale i inne zasoby potrzebne do wytwarzania przedmiotów z przepisów.\nPrzepisy można wykorzystać wyłącznie w kuźni, wykorzystując przetopione zasoby (przedmioty w ekwipunku się nie liczą).\n\nAby zwiększyć wydajność, zdobądź kowadło lub miech, a jeśli marzą ci się przedmioty ze stali, pozyskaj tygiel.\nAby podnieść stacje robocze na obszarze Twojego bloku prawa własności do ziemi, przytrzymaj przyciśnięty klawisz E."
landClaimTip,Journal Tip,,,,"A land claim grants a hardness modifier to all blocks in your claim area.\nThis hardness modifier applies to any attacks or damage to blocks by enemy players.\n\nYou can pick up and move electrical components and workstations inside your claim. Electrical Items outside of your claim can be cut and wired by strangers.\nWhen placing a claim block you will see a colored placement preview. Colors are as follows: Green inside your claim, Yellow inside your friends claim, White everywhere else, Red you cannot place the block.\nYou can have three active land claim blocks at a time. Placing another will deactivate your first block.\nEnemies will not respawn within your claimed area. ",,"Blok prawa własności do ziemi wzmacnia bloki na twoim terenie.\nModyfikator twardości chroni przed atakami i obrażeniami zadawanymi blokom przez wrogich graczy.\n\nNa swoim terenie możesz podnosić i przenosić komponenty elektryczne i stacje robocze. Komponenty elektryczne poza twoim terenem mogą zostać odłączone i podłączone przez innych.\nPodczas umieszczania bloku prawa własności do ziemi, zobaczysz kolorowy podgląd rozmieszczenia. Zielony oznacza teren w obrębie twojego terytorium. Żółty oznacza teren w obrębie terenu znajomego. Biały oznacza pozostały teren. Czerwony oznacza, że nie możesz rozmieścić bloku.\nMożesz mieć jednocześnie trzy aktywne bloki prawa własności. Rozmieszczenie kolejnego spowoduje dezaktywację pierwszego.\nWrogowie nie będą się odradzali na twoim terenie. "
miningTip,Journal Tip,,,,"With the exception of Oil Shale all ores are found in all biomes and can be found at any depth. These ores are Iron, Lead, Coal and Nitrate.\nThe desert is special in that you will find Oil Shale but no Coal.\n\nOre piles are often found where ore veins exist close to the surface. Dig straight down, not sideways, to find an ore vein.\nClay Soil can be dug up almost everywhere.",,"Złoża można znaleźć w każdym biomie i na każdej głębokości (nie dotyczy łupków bitumicznych). W świecie gry znajdziesz żelazo, ołów, węgiel i saletrę.\nPustynia różni się od innych biomów tym, że znajdziesz na niej łupki bitumiczne, ale za to nie ma na niej węgla.\n\nZnaczne ilości kopalin znajdziesz zwykle w miejscach, gdzie złoża wydostają się na powierzchnie. Aby znaleźć bogate złoża, wykop głęboką dziurę (poszukiwania na przyległych obszarach będą bezowocne).\nGlebę gliniastą znajdziesz niemal wszędzie."
shapeMenuTip,Journal Tip,,,,"The Shape menu allows choosing custom shapes or variants for certain blocks.\nPut the crafted block on your hotbar, hold the Reload action (or Shift+Reload) and select the Shape entry from the radial menu. Click or Shift-Click to select a variant to build with.\n\nPlace blocks with the secondary action.\n\nMost building blocks have 24 rotations. Some have 28 including 45° rotations. Rotate blocks with the primary action. Rotate backwards with the reload action.\nCopy Rotation (hold the reload action) copies the rotation of the targeted block and applies it to the one you have active on your hotbar.\nOn Face (hold the reload action) is mostly used for light fixtures or signs that are intended to attach to walls.\nAuto Rotate (hold the reload action) restores the default rotation of the block.",,"Menu kształtu pozwala wybrać niestandardowe kształty lub warianty pewnych bloków.\nUmieść tworzony blok na pasku skrótów, przytrzymaj akcję przeładowania (lub Shift+przeładowanie) i wybierz kształt z kołowego menu. Kliknij normalnie lub przytrzymując klawisz Shift, aby wybrać wariant do budowy.\n\nUmieść blok za pomocą akcji pomocniczej.\n\nWiększość bloków konstrukcyjnych ma 24 pozycje obracania. Niektóre mają 28, w tym obrót o 45°. Obracaj bloki za pomocą akcji głównej. Obracaj wstecz za pomocą akcji przeładowania.\nKopiowanie obrotu (przytrzymaj akcję przeładowania) kopiuje obrót wskazanego bloku i stosuje go do bloku aktywnego na pasku skrótów.\n„Na ścianie” (przytrzymaj akcję przeładowania) jest opcją najczęściej używaną do oświetlenia lub znaków, które mają być zamocowane na ścianie.\nObrót automatyczny (przytrzymaj akcję przeładowania) przywraca domyślny obrót bloku."
workbenchTip,Journal Tip,,,,"Not only does the Workbench have all the backpack recipes, but it also unlocks advanced recipes allowing you to craft more items. Queue up a craft action and walk away keeping your main crafting queue open for use. Inside your land claim area all workstations can be picked up by holding ''E'' and selecting ''TAKE'' from the radial menu.",,"Warsztat zawiera wszystkie przepisy z plecaka i odblokowuje przepisy zaawansowane, umożliwiając wytworzenie dodatkowych przedmiotów. Ustaw w kolejce warsztatu akcję wytwarzania i odejdź nie blokując kolejki wytwarzania w plecaku. Na terenie oznaczonym blokiem prawa własności możesz podnosić wszystkie stacje robocze, przytrzymując klawisz „E” i z menu kołowego wybierając opcję „WEŹ”."
seedsT1-3,progression,Attribute,,,Tier 1: Coffee,,Poziom 1: Kawowiec
perkArtOfMiningCoffeeLongDesc,progression,perk  book,,,Coffee: Miners thrive on coffee. Harvest 10% more from all ores with a mining pick or stone axe when buzzed from coffee.,,"Kawa: Górnicy uwielbiają kawę. Po wypiciu kawy, będziesz zbierać 10% więcej zasobów ze wszystkich rud za pomocą kilofa lub kamiennej siekiery."
perkFiremansAlmanacAxesDesc,progression,perk  book,,,Craft the fireman's axe mod.,,Wytwarzaj modyfikację Lepsza siekiera strażacka.
perkFiremansAlmanacAxesLongDesc,progression,perk  book,,,"Axe Mod: Craft the fireman's axe modification. Deal 25% more damage to blocks, but 25% less damage to enemies.",,Modyfikacja Lepsza siekiera strażacka: Wytwórz modyfikację Lepsza siekiera strażacka. Premia 25% do obrażeń zadawanych blokom i kara 25% do obrażeń zadawanych wrogom.
perkCharismaticNatureRank5Desc,progression,perk Int,,,General,,Ogólne
perkMiner69rRank1LongDesc,progression,perk Str,,,"Everyone has to start somewhere. Increase tool damage by 10% and block damage by 30% with any axe, pick, shovel, chainsaw or auger. Stamina costs are reduced by 8% and 15% for power attacks. Find more tools and parts in loot.",,"Każda historia ma swój skromny początek. Zadawaj narzędziami 10% więcej obrażeń przeciwnikom i 30% więcej uszkodzeń blokom za pomocą dowolnej siekiery, kilofu, łopaty, piły łańcuchowej lub świdra. Koszt wytrzymałości zostaje zmniejszony o 8% i 15% w przypadku mocnych ataków. Znajduj więcej narzędzi i części w łupach."
perkMiner69rRank2LongDesc,progression,perk Str,,,"You're still a little green, but you aren't fetching the Muckmen blackstrap anymore. Increase tool damage by 20% and block damage by 60% with any axe, pick, shovel, chainsaw or auger. Stamina costs are reduced by 15% and 30% for power attacks. Find more tools and parts in loot.",,"Nadal stawiasz pierwsze kroki, ale przynajmniej już nie latasz po „Blackstrap Muckmanów”. Zadawaj 20% więcej obrażeń przeciwnikom i 60% więcej uszkodzeń blokom za pomocą dowolnej siekiery, kilofu, łopaty, piły łańcuchowej lub świdra. Koszt wytrzymałości zostaje zmniejszony o 15% i 30% w przypadku mocnych ataków. Znajduj więcej narzędzi i części w łupach."
perkMiner69rRank3LongDesc,progression,perk Str,,,"You're now a professional miner, or what they called “Muckmen”, back in the day. Increase tool damage by 30% and block damage by 90% with any axe, pick, shovel, chainsaw or auger. Stamina costs are reduced by 20% and 40% for power attacks. Find more tools and parts in loot.",,"Kiedyś zawodowych górników, takich jak ty, nazywali muckmanami. Zadawaj 30% więcej obrażeń przeciwnikom i 90% więcej uszkodzeń blokom za pomocą dowolnej siekiery, kilofu, łopaty, piły łańcuchowej lub świdra. Koszt wytrzymałości zostaje zmniejszony o 20% i 40% w przypadku mocnych ataków. Znajduj więcej narzędzi i części w łupach."
perkMiner69rRank4LongDesc,progression,perk Str,,,"You can crack rock with the best of them now. Increase tool damage by 40% and block damage by 120% with any axe, pick, shovel, chainsaw or auger. Stamina costs are reduced by 25% and 50% for power attacks. Find more tools and parts in loot.",,"Kto się nie leni, robi złoto z kamieni. Zadawaj 40% więcej obrażeń przeciwnikom i 120% więcej uszkodzeń blokom za pomocą dowolnej siekiery, kilofu, łopaty, piły łańcuchowej lub świdra. Koszt wytrzymałości zostaje zmniejszony o 25% i 50% w przypadku mocnych ataków. Znajduj więcej narzędzi i części w łupach."
perkMiner69rRank5LongDesc,progression,perk Str,,,"You're the legendary Miner 69'er and can find the juicy center of any rock faster than a horny bullfrog. Increase damage by 50% and block damage by 150% with any axe, pick, shovel, chainsaw or auger. Find more tools and parts in loot.",,"Wołają cię sztygar, co ma wygar, bo robisz dziury w skale szybciej niż kula dużego kalibru w kiszkach. Zadawaj 50% więcej obrażeń przeciwnikom i 150% więcej uszkodzeń blokom za pomocą dowolnej siekiery, kilofu, łopaty, piły łańcuchowej lub świdra. Znajduj więcej narzędzi i części w łupach."
poiLockoutLandClaim,Quest,POI Lockout,,,There is a landclaim placed inside the POI you are wanting to quest in. Please come back later.,,"Blok prawa własności do ziemi znajduje się wewnątrz POI, przy którym chcesz realizować zadanie. Wróć później."
quest_BasicSurvival1_description,Quest,Quest Info,,,"Craft a Bedroll by gathering plant fibers. Once you have the ingredients open your crafting inventory, navigate to the basics recipe category, highlight the recipe and click the craft button.\n\nPlace the Bedroll in the world by first equipping it and using the secondary action key. Once placed you'll see a Bed Icon on your compass and map. This will lead you back to your home and will act as a re-spawn point if you die.",,"Wytwórz śpiwór z zebranych włókien roślinnych. Gdy zdobędziesz potrzebne składniki, otwórz ekwipunek rzemieślnika, przejdź do kategorii Podstawy, wybierz przepis i kliknij przycisk wytwarzania. \n\nRozmieść śpiwór w świecie gry, wyposażając go i przyciskając klawisz akcji pomocniczej. Po rozmieszczeniu na kompasie i mapie wyświetlona zostanie ikona łóżka. Dzięki temu łatwiej trafisz do domu, a po śmierci odrodzisz się w znanym sobie otoczeniu."
quest_BasicSurvival1_hint2_alt,Quest,Quest Info,,,[00FF00]Press [-][FFB400][action:local:Inventory][action:permanent:Inventory] to open the crafting menu.\n[-][00FF00]Select [-][FFB400]the [-][00FF00]Bedroll [-][FFB400][action:gui:GUI Submit] from the crafting list. [-][00FF00]Press [-][FFB400][action:gui:GUI D-Pad Up] or [-][00FF00]Craft [-][FFB400]from the action list to start the crafting process.[-],,"[00FF00]Naciśnij [-][FFB400][action:local:Inventory][action:permanent:Inventory], aby otworzyć menu wytwarzania.\n[-][00FF00]Wybierz [-][FFB400] [-][00FF00]śpiwór [-][FFB400][action:gui:GUI Submit] z listy wytwarzania. [-][00FF00]Naciśnij [-][FFB400][action:gui:GUI D-Pad Up] lub [-][00FF00]wytwarzaj [-][FFB400]na liście działań, aby rozpocząć wytwarzanie.[-]"
quest_BasicSurvival2_description,Quest,Quest Info,,,"Craft a Stone Axe to help you defend yourself and gather crafting ingredients. Gather the ingredients by attacking grass, stone, or wood objects. You can also pick up small stones by looking at them and using the Pickup action. Once you have the ingredients, access the Inventory and locate Stone Axe in the Basics category of the Crafting window. Craft a Stone Axe.",,"Wytwórz kamienną siekierę, którą odeprzesz wrogów i zbierzesz zasoby potrzebne do wytwarzania przedmiotów. Zbieraj składniki, atakując trawę, kamienie lub drewniane obiekty. Małe kamienie podniesiesz, patrząc na nie i używając akcji podnoszenia. Gdy zdobędziesz wszystkie składniki, otwórz ekwipunek i zlokalizuj kamienną siekierę w kategorii Podstawy okna wytwarzania. Wytwórz kamienną siekierę."
quest_BasicSurvival5_description,Quest,Quest Info,,,"Gather wood by attacking trees or bushes. Once you have the ingredients, access the Inventory and locate Wooden Club in the Basics category of the Crafting window. Craft a Wooden Club.",,"Zbieraj drewno, atakując drzewa i krzewy. Gdy zdobędziesz wszystkie składniki, otwórz ekwipunek i zlokalizuj drewnianą maczugę w kategorii Podstawy okna rzemiosła. Wytwórz maczugę z drewna."
quest_BasicSurvival6_description,Quest,Quest Info,,,"Now that you have a melee weapon, you could use a ranged weapon. Gather wood, stone, plant fibers and feathers found in bird nests on the ground. Once you have the ingredients, access the Basics category of the Crafting window. Craft a Primitive Bow and Arrows.",,"Masz już broń białą, teraz przydałoby ci się coś o większym zasięgu. Zbierz drewno, kamień, włókna roślinne i pióra znajdujące się w ptasich gniazdach na ziemi. Gdy zdobędziesz wszystkie składniki, otwórz kategorię Podstawy w oknie wytwarzania. Wytwórz tam drewniany łuk i strzały."
quest_BasicSurvival7_description,Quest,Quest Info,,,Gather wood and Craft Wooden Frames from the Basics category of the Crafting window. Place Wooden Frames in the world by equipping them and using the secondary action. Upgrade them with a Stone Axe using the secondary action while you have extra wood in your Inventory.,,"Zbieraj drewno i wytwarzaj drewniane ramy w kategorii Podstawy okna rzemieślniczego. Rozmieszczaj drewniane ramy w świecie gry, wyposażając je i przyciskając klawisz akcji pomocniczej. Jeśli masz w ekwipunku zapasowe drewno, ulepszaj je przy użyciu kamiennej siekiery akcją pomocniczą."
quest_BasicSurvival7_hint2,Quest,Quest Info,,,[00FF00]Open [-][FFB400]the crafting menu [FFB400][action:local:Inventory][action:permanent:Inventory] to craft a [-][00FF00]Building Block[-][FFB400].[-],,"[00FF00]Otwórz [-][FFB400]menu wytwarzania [FFB400][action:local:Inventory][action:permanent:Inventory], aby wytworzyć [-][00FF00]blok konstrukcyjny[-][FFB400].[-]"
quest_BasicSurvival7_hint3,Quest,Quest Info,,,[00FF00]Press [-][FFB400][action:gui:GUI D-Pad Up] to [-][00FF00]Equip[FFB400] the [-]Building Block [-][FFB400]to the Toolbelt.\n[-][00FF00]Press [-][FFB400][action:local:Secondary] to [-][00FF00]Place[FFB400] the [-]Building Block.[-],,"[00FF00]Naciśnij [-][FFB400][action:gui:GUI D-Pad Up], aby [-][00FF00]umieścić[FFB400] [-]blok konstrukcyjny [-][FFB400]na pasku narzędzi.\n[-][00FF00]Naciśnij [-][FFB400][action:local:Secondary], aby [-][00FF00]umieścić[FFB400] [-]blok konstrukcyjn.[-]"
quest_BasicSurvival7_hint3_alt,Quest,Quest Info,,,[00FF00]Hover [-][FFB400]over the [-][00FF00]Building Block [-][FFB400]and [-][00FF00]Press [-][FFB400][action:gui:GUI Window RightStick In] to move it to the Toolbelt.\n[-][00FF00]Press [-][FFB400][action:gui:GUI Cancel] to close the crafting menu.\n[-][00FF00]Press [-][FFB400][action:local:Secondary] to place the [-][00FF00]Building Block[-][FFB400].[-],,"[00FF00]Najedź [-][FFB400]na [-][00FF00]blok konstrukcyjny [-][FFB400]i [-][00FF00]naciśnij [-][FFB400][action:gui:GUI Window RightStick In], aby przenieść go na pasek narzędzi.\n[-][00FF00]Naciśnij [-][FFB400][action:gui:GUI Cancel], aby zamknąć menu wytwarzania.\n[-][00FF00]Naciśnij [-][FFB400][action:local:Secondary], aby umieścić [-][00FF00]blok konstrukcyjny[-][FFB400].[-]"
quest_BasicSurvival7_hint4,Quest,Quest Info,,,[FFB400]Use [action:local:ScrollUp] or [action:local:ScrollDown] to equip the [-][00FF00]Stone Axe[-][FFB400].[-]\n[00FF00]Press [-][FFB400]and [-][00FF00]Hold [-][FFB400][action:local:Secondary] to upgrade the [-][00FF00]Building Block[-][FFB400] to a [-][00FF00]Wood Block[-][FFB400].[-],,"[FFB400]Użyj [action:local:ScrollUp] lub [action:local:ScrollDown], aby wyposażyć [-][00FF00]kamienną siekierę[-][FFB400].[-]\n[00FF00]Naciśnij [-][FFB400]i [-][00FF00]przytrzymaj [-][FFB400][action:local:Secondary], aby ulepszyć [-][00FF00]blok konstrukcyjny[-][FFB400] do [-][00FF00]bloku drewna[-][FFB400].[-]"
quest_BasicSurvival7_hint4_alt,Quest,Quest Info,,,[FFB400]Use [action:local:InventorySelectLeft] or [action:local:InventorySelectRight] to [-][00FF00]Equip [-][FFB400]the [-][00FF00]Stone Axe[-][FFB400].\n[-][00FF00]Press [-][FFB400]and [-][00FF00]Hold [-][FFB400][action:local:Secondary] to upgrade the [-][00FF00]Building Block [-][FFB400]to a [-][00FF00]Wood Block[-][FFB400].[-],,"[FFB400]Użyj [action:local:InventorySelectLeft] lub [action:local:InventorySelectRight], aby [-][00FF00]wyposażyć [-][FFB400][-][00FF00]kamienną siekierę[-][FFB400].\n[-][00FF00]Naciśnij [-][FFB400]i [-][00FF00]przytrzymaj [-][FFB400][action:local:Secondary], aby ulepszyć [-][00FF00]blok konstrukcyjny [-][FFB400]do [-][00FF00]bloku drewna[-][FFB400].[-]"
quest_BasicSurvival8_description,Quest,Quest Info,,,Gather small stones and Craft a Campfire from the Basics category of the Crafting window. Equip the Campfire and place it in the world using the secondary action. Once placed you can use the campfire to warm yourself or cook.,,Zbieraj małe kamienie i wytwórz ognisko w kategorii Podstawy okna wytwarzania. Wyposaż ognisko i rozmieść je w świecie gry akcją pomocniczą. Po rozmieszczeniu przy ognisku możesz się ogrzać lub gotować.
subtitle_trader_jen_announce_open_02,subtitles,subtitle,,,[Over loudspeaker] Greetings wasteland! Trader Jens is now open for business.,,"[Przez głośnik] Czołem, pustkowie! U handlarki Jen już otwarte."
subtitle_trader_jen_announce_open_03,subtitles,subtitle,,,[Over loudspeaker] Trader Jens is now open.,,[Przez głośnik] U handlarki Jen już otwarte.
TwitchAction_ActionDestroyBaseDesc,twitch,Actions,,,Destroys the target's entire land claim area.,,Niszczy cały teren chroniony blokiem prawa własności celu.
lblContextActionOpen,UI,Item Context Menu,,,Open,,Otwórz
loadingTipBaseUpgrading,UI,Loading Screen,x,,"Building blocks can be upgraded to stronger versions using material and a stone axe.\nThe most common upgrade materials are: wood, cobblestone rocks, concrete mix and forged steel.",,"Bloki konstrukcyjne można ulepszać do mocniejszych wersji przy użyciu materiałów i kamiennego topora.\nNajpopularniejsze materiały ulepszające to: drewno, kostki brukowe, mieszanka betonowa i kuta stal."
loadingTipPickaxes,UI,Loading Screen,x,,"Pickaxes are great for harvesting the various ores such as iron, lead, coal, oil shale and potassium nitrate.",,"Kilofy świetnie nadają się do pozyskiwania różnych rud, takich jak żelazo, ołów, węgiel, łupek bitumiczny czy saletra."
blockcommand_open,UI,Radial blockcommand,,,Open,,Otwórz
trader_hugh_helpful_tip_04,UI,Subtitles,,,"If you like to mine, you can make your own gunpowder from coal and nitrate.",,"Jeśli lubisz kopać, możesz zrobić własny proch strzelniczy z węgla i saletry."
trader_joel_helpful_tip_04,UI,Subtitles,,,"We sell pockets for your armor, so you can carry more loot. Best investment you'll ever make.",,Sprzedajemy kieszenie do pancerzy. Pozwolą ci zabrać więcej łupu. To świetna inwestycja.
lblCategoryBasics,UI,Tooltip,,,Basics,,Podstawy 
ttScrapMetalBrass,UI,Tooltip,,,Place brass items on the crafting grid to get scrap brass,,"Umieszczaj przedmioty z mosiądzu na siatce wytwarzania, aby pozyskać mosiężny złom."
ttScrapMetalIron,UI,Tooltip,,,Place iron items on the crafting grid to get scrap iron,,"Umieszczaj przedmioty z żelaza na siatce wytwarzania, aby pozyskać żelazny złom."
ttScrapMetalLead,UI,Tooltip,,,Place lead items on the crafting grid to get scrap lead,,"Umieszczaj przedmioty z ołowiu na siatce wytwarzania, aby pozyskać ołowiany złom."
xuiBasics,UI,XUI,,,Basics,,Podstawy 
xuiBtnOptionsGeneral,UI,XUi OptionsMenu,x,,General,,Ogólne
